# id x y z yaw target_linear_v
0 0.000000 0.000000 0.000000 0.000000 2.777778
1 1.000000 0.000000 0.000000 0.000000 2.777778
2 2.000000 0.000000 0.000000 0.000000 2.777778
3 3.000000 0.000000 0.000000 0.000000 2.777778
4 4.000000 0.000000 0.000000 0.000000 2.777778
5 5.000000 0.000000 0.000000 0.000000 2.777778
6 6.000000 0.000000 0.000000 0.000000 2.777778
7 7.000000 0.000000 0.000000 0.000000 2.777778
8 8.000000 0.000000 0.000000 0.000000 2.777778
9 9.000000 0.000000 0.000000 0.000000 2.777778
10 10.000000 0.000000 0.000000 0.000000 2.777778
11 11.000000 0.000000 0.000000 0.000000 2.777778
12 12.000000 0.000000 0.000000 0.000000 2.777778
13 13.000000 0.000000 0.000000 0.000000 2.777778
14 14.000000 0.000000 0.000000 0.000000 2.777778
15 15.000000 0.000000 0.000000 0.000000 2.777778
16 16.000000 0.000000 0.000000 0.000000 2.777778
17 17.000000 0.000000 0.000000 0.000000 2.777778
18 18.000000 0.000000 0.000000 0.000000 2.777778
19 19.000000 0.000000 0.000000 0.000000 2.777778
20 20.000000 0.000000 0.000000 0.000000 2.777778
21 21.000000 0.050000 0.000000 0.100000 2.777778
22 21.990000 0.200000 0.000000 0.200000 2.777778
23 22.960000 0.450000 0.000000 0.300000 2.777778
24 23.890000 0.790000 0.000000 0.400000 2.777778
25 24.790000 1.220000 0.000000 0.500000 2.777778
26 25.650000 1.750000 0.000000 0.600000 2.777778
27 26.440000 2.350000 0.000000 0.700000 2.777778
28 27.170000 3.030000 0.000000 0.800000 2.777778
29 27.830000 3.780000 0.000000 0.900000 2.777778
30 28.410000 4.600000 0.000000 1.000000 2.777778
31 28.910000 5.460000 0.000000 1.100000 2.777778
32 29.320000 6.380000 0.000000 1.200000 2.777778
33 29.640000 7.330000 0.000000 1.300000 2.777778
34 29.850000 8.300000 0.000000 1.400000 2.777778
35 29.970000 9.290000 0.000000 1.500000 2.777778
36 30.050000 10.290000 0.000000 1.500000 2.777778
37 30.120000 11.290000 0.000000 1.500000 2.777778
38 30.190000 12.290000 0.000000 1.500000 2.777778
39 30.260000 13.280000 0.000000 1.500000 2.777778
40 30.330000 14.280000 0.000000 1.500000 2.777778
41 30.400000 15.280000 0.000000 1.500000 2.777778
42 30.470000 16.280000 0.000000 1.500000 2.777778
43 30.540000 17.270000 0.000000 1.500000 2.777778
44 30.610000 18.270000 0.000000 1.500000 2.777778
45 30.680000 19.270000 0.000000 1.500000 2.777778
46 30.750000 20.270000 0.000000 1.500000 2.777778
47 30.820000 21.260000 0.000000 1.500000 2.777778
48 30.890000 22.260000 0.000000 1.500000 2.777778
49 30.970000 23.260000 0.000000 1.500000 2.777778
50 31.040000 24.260000 0.000000 1.500000 2.777778
51 31.110000 25.250000 0.000000 1.500000 2.777778
52 31.180000 26.250000 0.000000 1.500000 2.448414
53 31.250000 27.250000 0.000000 1.500000 1.997458
54 31.320000 28.250000 0.000000 1.500000 1.408880
55 31.390000 29.240000 0.000000 1.500000 0.000000
