# stamp x y z yaw
0.172000 0.000000 0.000000 -0.000709 0.000000
0.192000 0.000001 0.000000 -0.001311 0.000000
0.212000 0.000002 0.000000 -0.001549 0.000000
0.232000 0.000004 0.000000 -0.001626 0.000000
0.252000 0.000006 0.000000 -0.001648 0.000000
0.272000 0.000008 0.000000 -0.001655 0.000000
0.292000 0.000009 0.000000 -0.001657 0.000000
0.312000 0.000011 0.000000 -0.001657 0.000000
0.332000 0.000013 0.000000 -0.001657 0.000000
0.352000 0.000015 0.000000 -0.001657 0.000000
0.372000 0.000016 0.000000 -0.001657 0.000000
0.392000 0.000018 0.000000 -0.001657 0.000000
0.412000 0.000848 -0.000055 -0.001657 -0.000058
0.432000 0.003507 -0.000903 -0.001655 -0.000925
0.452000 0.007543 -0.002299 -0.001655 -0.002309
0.472000 0.012894 -0.002827 -0.001655 -0.002887
0.492000 0.019292 -0.002239 -0.001583 -0.002237
0.512000 0.026855 -0.000923 -0.001482 -0.000527
0.532000 0.035737 0.001504 -0.001461 0.002040
0.552000 0.046235 0.004489 -0.001491 0.004991
0.572000 0.058175 0.005877 -0.001542 0.006138
0.592000 0.071138 0.004623 -0.001391 0.004469
0.612000 0.085487 0.001548 -0.001312 0.001045
0.632000 0.101809 -0.000735 -0.001485 -0.001319
0.652000 0.120237 -0.001124 -0.001589 -0.001616
0.672000 0.140430 0.000410 -0.001631 0.000066
0.692000 0.162365 0.003045 -0.001646 0.002754
0.712000 0.185943 0.004200 -0.001648 0.003715
0.732000 0.210070 0.002406 -0.001466 0.001623
0.752000 0.235128 -0.001515 -0.001357 -0.002509
0.772000 0.261365 -0.006865 -0.001389 -0.007755
0.792000 0.288818 -0.013317 -0.001462 -0.013904
0.812000 0.317470 -0.020293 -0.001512 -0.020168
0.832000 0.347616 -0.026572 -0.001592 -0.025266
0.852000 0.379077 -0.031830 -0.001645 -0.028875
0.872000 0.410232 -0.035323 -0.001754 -0.029885
0.892000 0.441661 -0.037377 -0.001650 -0.029452
0.912000 0.473177 -0.037977 -0.001536 -0.027518
0.932000 0.504830 -0.037269 -0.001507 -0.024257
0.952000 0.536780 -0.035405 -0.001444 -0.020058
0.972000 0.569017 -0.032482 -0.001391 -0.015017
0.992000 0.601497 -0.028621 -0.001372 -0.009178
1.012000 0.634102 -0.023934 -0.001382 -0.002614
1.032000 0.666662 -0.018400 -0.001415 0.004497
1.052000 0.699162 -0.011961 -0.001472 0.012108
1.072000 0.731762 -0.004536 -0.001537 0.020187
1.092000 0.764314 0.004036 -0.001598 0.028982
1.112000 0.796774 0.012937 -0.001632 0.036625
1.132000 0.829122 0.020233 -0.001623 0.041009
1.152000 0.861381 0.025462 -0.001851 0.043350
1.172000 0.893872 0.029000 -0.001721 0.043867
1.192000 0.926525 0.031039 -0.001629 0.042523
1.212000 0.960183 0.031709 -0.001646 0.040125
1.232000 0.995741 0.031342 -0.001634 0.036990
1.252000 1.032920 0.030070 -0.001619 0.032987
1.272000 1.071293 0.027526 -0.001538 0.028324
1.292000 1.111024 0.023751 -0.001421 0.022639
1.312000 1.152118 0.018803 -0.001386 0.015931
1.332000 1.194439 0.011848 -0.001385 0.007425
1.352000 1.238246 0.003235 -0.001507 -0.001832
1.372000 1.283308 -0.006939 -0.001600 -0.012212
1.392000 1.329304 -0.019399 -0.001633 -0.024325
1.412000 1.375946 -0.032282 -0.001645 -0.035812
1.432000 1.422116 -0.043429 -0.001956 -0.043908
1.452000 1.468358 -0.052549 -0.002702 -0.049352
1.472000 1.513786 -0.059119 -0.003749 -0.051769
1.492000 1.558332 -0.063383 -0.005181 -0.051644
1.512000 1.601932 -0.065205 -0.006870 -0.048968
1.532000 1.644655 -0.064426 -0.008456 -0.043596
1.552000 1.686281 -0.060210 -0.009267 -0.035456
1.572000 1.726811 -0.052905 -0.009608 -0.025076
1.592000 1.766068 -0.040808 -0.008099 -0.009997
1.612000 1.807486 -0.024912 -0.006431 0.007573
1.632000 1.851300 -0.006142 -0.004721 0.026024
1.652000 1.897547 0.014086 -0.003667 0.044095
1.672000 1.941797 0.029775 -0.001892 0.056463
1.692000 1.985064 0.042573 -0.001657 0.066244
1.712000 2.029103 0.054047 -0.002008 0.073766
1.732000 2.072466 0.063558 -0.001951 0.078738
1.752000 2.114515 0.070532 -0.002060 0.081596
1.772000 2.155787 0.075742 -0.002242 0.082611
1.792000 2.196099 0.079191 -0.002316 0.082651
1.812000 2.234987 0.081020 -0.002549 0.081590
1.832000 2.272386 0.081618 -0.002753 0.078998
1.852000 2.308894 0.080959 -0.002943 0.075345
1.872000 2.343741 0.079047 -0.003109 0.070568
1.892000 2.377517 0.075790 -0.003067 0.064662
1.912000 2.409996 0.071345 -0.003127 0.057717
1.932000 2.440650 0.065502 -0.003240 0.049965
1.952000 2.470017 0.058721 -0.003339 0.041440
1.972000 2.497220 0.050355 -0.003037 0.031236
1.992000 2.523524 0.040603 -0.002843 0.020247
2.012000 2.550026 0.030204 -0.002037 0.008527
2.032000 2.576720 0.019616 -0.001679 -0.003653
2.052000 2.603508 0.008258 -0.001645 -0.016429
2.072000 2.630285 -0.004107 -0.001650 -0.029511
2.092000 2.657038 -0.017463 -0.001653 -0.042943
2.112000 2.683815 -0.030931 -0.001650 -0.054733
2.132000 2.710898 -0.042670 -0.001804 -0.062921
2.152000 2.737635 -0.052269 -0.002086 -0.068496
2.172000 2.763513 -0.060484 -0.002133 -0.072435
2.192000 2.788177 -0.067400 -0.002204 -0.075485
2.212000 2.811618 -0.072764 -0.002385 -0.077776
2.232000 2.833792 -0.076331 -0.002722 -0.079359
2.252000 2.854687 -0.077987 -0.002826 -0.079861
2.272000 2.874728 -0.078398 -0.002958 -0.079200
2.292000 2.893930 -0.078106 -0.003124 -0.077388
2.312000 2.913241 -0.077264 -0.003259 -0.075306
2.332000 2.933433 -0.076227 -0.003335 -0.073187
2.352000 2.954003 -0.075122 -0.003358 -0.070547
2.372000 2.976206 -0.073944 -0.003139 -0.067839
2.392000 2.999879 -0.073040 -0.003135 -0.065030
2.412000 3.025319 -0.072510 -0.003253 -0.062764
2.432000 3.053019 -0.072758 -0.003341 -0.060853
