# stamp x y z yaw linear_v angular_v
0.176000 0.000000 0.000000 -0.000709 0.000000 0.000001 -0.000009
0.196000 0.000001 0.000000 -0.001311 0.000000 -0.000010 -0.000003
0.216000 0.000002 0.000000 -0.001549 0.000000 -0.000020 -0.000004
0.236000 0.000004 0.000000 -0.001626 0.000000 -0.000025 -0.000004
0.256000 0.000006 0.000000 -0.001648 0.000000 -0.000027 -0.000004
0.276000 0.000008 0.000000 -0.001655 0.000000 -0.000028 -0.000004
0.296000 0.000009 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.316000 0.000011 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.336000 0.000013 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.356000 0.000015 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.376000 0.000016 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.396000 0.000018 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.416000 0.000020 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.436000 0.000022 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.456000 0.000023 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.476000 0.000025 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.496000 0.000027 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.516000 0.001383 -0.000040 -0.001656 -0.000042 0.071459 -0.007005
0.536000 0.004986 -0.000338 -0.001655 -0.000348 0.167070 -0.019488
0.556000 0.010477 -0.000762 -0.001655 -0.000764 0.261445 -0.012542
0.576000 0.017762 -0.000315 -0.001656 -0.000252 0.350318 0.044689
0.596000 0.026930 0.000384 -0.001656 0.000478 0.447928 0.027358
0.616000 0.038007 0.000608 -0.001656 0.000673 0.540099 -0.025433
0.636000 0.050931 -0.000144 -0.001656 -0.000140 0.635130 -0.034143
0.656000 0.065791 -0.000581 -0.001656 -0.000578 0.731522 -0.009996
0.676000 0.082547 -0.000253 -0.001656 -0.000202 0.826042 0.029879
0.696000 0.101217 0.000122 -0.001656 0.000193 0.922337 0.011346
0.716000 0.121803 0.000171 -0.001656 0.000227 1.017390 -0.016922
0.736000 0.144290 -0.000283 -0.001656 -0.000253 1.113037 -0.019836
0.756000 0.168694 -0.000523 -0.001656 -0.000482 1.207840 0.006095
0.776000 0.194938 0.000443 -0.001656 0.000547 1.299502 0.070122
0.796000 0.223089 0.001531 -0.001656 0.001630 1.396940 0.040091
0.816000 0.253080 0.001652 -0.001656 0.001644 1.482911 -0.034784
0.836000 0.284713 -0.000430 -0.001648 -0.000606 1.566500 -0.138229
0.856000 0.318060 -0.003656 -0.001647 -0.003880 1.650821 -0.142899
0.876000 0.352892 -0.004302 -0.001523 -0.004293 1.726953 -0.011355
0.896000 0.389300 -0.002776 -0.001348 -0.002464 1.807063 0.099279
0.916000 0.427243 0.000744 -0.001315 0.001306 1.882012 0.199521
0.936000 0.466667 0.006174 -0.001360 0.006820 1.957065 0.288438
0.956000 0.507692 0.012367 -0.001513 0.012783 2.031932 0.277804
0.976000 0.549964 0.016278 -0.001561 0.016016 2.099562 0.154700
0.996000 0.593604 0.018102 -0.001503 0.016888 2.168016 0.035268
1.016000 0.638563 0.017871 -0.001459 0.015620 2.232689 -0.075525
1.036000 0.684783 0.015545 -0.001441 0.012284 2.295367 -0.183011
1.056000 0.732271 0.011033 -0.001400 0.006910 2.359805 -0.289528
1.076000 0.781190 0.004449 -0.001362 -0.000264 2.431294 -0.384502
1.096000 0.831690 -0.003544 -0.001479 -0.008456 2.515255 -0.416682
1.116000 0.882884 -0.010031 -0.001578 -0.014213 2.536807 -0.261625
1.136000 0.934085 -0.013453 -0.001524 -0.016689 2.547945 -0.112236
1.156000 0.986411 -0.014508 -0.001437 -0.016839 2.625799 0.007355
1.176000 1.040513 -0.013598 -0.001353 -0.014949 2.713709 0.122596
1.196000 1.095733 -0.010919 -0.001317 -0.011425 2.768888 0.206321
1.216000 1.151204 -0.008111 -0.001458 -0.008198 2.767549 0.119652
1.236000 1.206718 -0.007595 -0.001579 -0.007379 2.777440 0.000810
1.256000 1.262252 -0.008094 -0.001628 -0.007116 2.773474 0.042376
1.276000 1.317796 -0.006734 -0.001647 -0.005052 2.779656 0.151173
1.296000 1.373406 -0.004161 -0.001652 -0.002352 2.780202 0.129201
1.316000 1.429007 -0.001080 -0.001655 0.001076 2.776385 0.224058
1.336000 1.484498 0.003956 -0.001655 0.006224 2.773254 0.287839
1.356000 1.540028 0.009092 -0.001656 0.010971 2.769314 0.203560
1.376000 1.595085 0.010883 -0.001554 0.011655 2.754169 0.045308
1.396000 1.649987 0.009729 -0.001435 0.009787 2.743485 -0.095605
1.416000 1.704841 0.005913 -0.001380 0.005395 2.731092 -0.237531
1.436000 1.759862 -0.000307 -0.001327 -0.001209 2.755563 -0.358749
1.456000 1.814897 -0.007875 -0.001333 -0.008833 2.747476 -0.383386
1.476000 1.869579 -0.013075 -0.001491 -0.013192 2.735573 -0.209411
1.496000 1.924137 -0.015443 -0.001525 -0.014605 2.728078 -0.071163
1.516000 1.978880 -0.015005 -0.001417 -0.013422 2.737195 0.087760
1.536000 2.034261 -0.012467 -0.001295 -0.010172 2.780319 0.187126
1.556000 2.089819 -0.008986 -0.001384 -0.006296 2.771734 0.185241
1.576000 2.145344 -0.007195 -0.001543 -0.004330 2.778339 0.038970
1.596000 2.200908 -0.007234 -0.001615 -0.003806 2.776471 0.023252
1.616000 2.256469 -0.006438 -0.001643 -0.002416 2.779071 0.123978
1.636000 2.312065 -0.004127 -0.001653 -0.000057 2.779776 0.121065
1.656000 2.367664 -0.001939 -0.001656 0.002102 2.777173 0.123045
1.676000 2.423186 0.001646 -0.001657 0.005777 2.771330 0.214855
1.696000 2.478713 0.005956 -0.001657 0.009806 2.774445 0.179823
1.716000 2.533937 0.008390 -0.001628 0.011269 2.755147 0.052884
1.736000 2.588824 0.007300 -0.001459 0.009462 2.743869 -0.088639
1.756000 2.643694 0.003561 -0.001370 0.005159 2.731496 -0.230456
1.776000 2.698516 -0.002738 -0.001345 -0.001524 2.747457 -0.354766
1.796000 2.753506 -0.011075 -0.001318 -0.010003 2.743226 -0.449791
1.816000 2.808201 -0.018966 -0.001432 -0.017254 2.731519 -0.345868
1.836000 2.862627 -0.024031 -0.001547 -0.021016 2.722386 -0.189003
1.856000 2.916979 -0.026165 -0.001510 -0.021926 2.716106 -0.039360
1.876000 2.971636 -0.025628 -0.001396 -0.020146 2.721865 0.111748
1.896000 3.026829 -0.022846 -0.001312 -0.016235 2.767950 0.227389
1.916000 3.082357 -0.019254 -0.001374 -0.011927 2.771996 0.192803
1.936000 3.137908 -0.017782 -0.001536 -0.009960 2.778388 0.043567
1.956000 3.193474 -0.017809 -0.001612 -0.009150 2.776579 0.040419
1.976000 3.249057 -0.017368 -0.001642 -0.007955 2.780153 0.078995
1.996000 3.304658 -0.016350 -0.001653 -0.006566 2.780006 0.067596
2.016000 3.360213 -0.014586 -0.001656 -0.004213 2.776980 0.178115
2.036000 3.415766 -0.010773 -0.001654 -0.000005 2.778560 0.244105
2.056000 3.471379 -0.006446 -0.001655 0.004355 2.777359 0.220892
2.076000 3.526859 -0.001140 -0.001656 0.009587 2.763772 0.281476
2.096000 3.582221 0.004860 -0.001657 0.015157 2.758798 0.253761
2.116000 3.637084 0.009123 -0.001635 0.018238 2.734791 0.137027
2.136000 3.691452 0.010034 -0.001516 0.018032 2.717660 -0.009400
2.156000 3.745599 0.008267 -0.001445 0.015144 2.702212 -0.150825
2.176000 3.800155 0.003917 -0.001362 0.009955 2.733300 -0.282257
2.196000 3.855204 -0.002429 -0.001302 0.002911 2.752382 -0.380271
2.216000 3.910379 -0.009152 -0.001412 -0.003918 2.760318 -0.308353
2.236000 3.965824 -0.013471 -0.001553 -0.007948 2.776003 -0.149924
2.256000 4.021351 -0.016105 -0.001612 -0.010244 2.777498 -0.066454
2.276000 4.076896 -0.015843 -0.001560 -0.009242 2.780691 0.094509
2.296000 4.132472 -0.013358 -0.001418 -0.006402 2.774127 0.152782
2.316000 4.187944 -0.010636 -0.001505 -0.003613 2.768583 0.089439
2.336000 4.243492 -0.009785 -0.001598 -0.002492 2.778235 0.026101
2.356000 4.299062 -0.009251 -0.001637 -0.001463 2.776840 0.085113
2.376000 4.354620 -0.006898 -0.001650 0.001233 2.778366 0.174365
2.396000 4.410216 -0.003700 -0.001654 0.004289 2.780115 0.142918
2.416000 4.465622 -0.002304 -0.001631 0.004926 2.765428 0.004219
2.436000 4.520831 -0.004583 -0.001417 0.002339 2.758895 -0.138979
2.456000 4.576041 -0.008960 -0.001304 -0.002080 2.759078 -0.224269
2.476000 4.630817 -0.011081 -0.001447 -0.003546 2.739415 -0.076289
2.496000 4.685326 -0.010180 -0.001509 -0.002363 2.723371 0.062154
2.516000 4.739910 -0.006463 -0.001411 0.001545 2.720876 0.212874
2.536000 4.794945 -0.000451 -0.001312 0.007591 2.751256 0.331370
2.556000 4.850137 0.006830 -0.001337 0.014530 2.755183 0.346682
2.576000 4.905006 0.011694 -0.001492 0.018168 2.745142 0.173011
2.596000 4.959806 0.013642 -0.001497 0.018911 2.739926 0.036634
2.616000 5.014828 0.012872 -0.001384 0.017230 2.762854 -0.118509
2.636000 5.070294 0.010390 -0.001306 0.013895 2.772122 -0.176926
2.656000 5.125684 0.007422 -0.001458 0.010388 2.764581 -0.140929
2.676000 5.181099 0.006587 -0.001581 0.008952 2.775178 -0.016238
2.696000 5.236614 0.007278 -0.001629 0.008787 2.772870 -0.014946
2.716000 5.292070 0.006689 -0.001647 0.007323 2.774612 -0.131024
2.736000 5.347579 0.003827 -0.001650 0.004147 2.775879 -0.185298
2.756000 5.403089 0.000687 -0.001653 0.000871 2.775021 -0.163585
2.776000 5.458521 -0.003334 -0.001655 -0.003398 2.766254 -0.226205
2.796000 5.513833 -0.008107 -0.001656 -0.008046 2.759381 -0.208582
2.816000 5.568763 -0.011111 -0.001632 -0.010356 2.740158 -0.097036
2.836000 5.623303 -0.010739 -0.001492 -0.009341 2.725794 0.052332
2.856000 5.677797 -0.007732 -0.001409 -0.005718 2.711914 0.195251
2.876000 5.732504 -0.002181 -0.001358 0.000259 2.737456 0.321706
2.896000 5.787612 0.005450 -0.001311 0.008084 2.746243 0.420478
2.916000 5.842428 0.012699 -0.001404 0.014763 2.736205 0.320300
2.936000 5.896977 0.017151 -0.001525 0.017921 2.728407 0.156504
2.956000 5.951512 0.018592 -0.001480 0.018316 2.725170 0.011596
2.976000 6.006395 0.017400 -0.001358 0.016182 2.748534 -0.135595
2.996000 6.061772 0.014318 -0.001299 0.012214 2.777252 -0.221428
3.016000 6.117238 0.011113 -0.001434 0.008582 2.773262 -0.136323
3.036000 6.172750 0.010419 -0.001568 0.007500 2.775273 -0.011620
3.056000 6.228247 0.011075 -0.001622 0.007355 2.770897 -0.020195
3.076000 6.283736 0.010283 -0.001644 0.005866 2.777142 -0.117497
3.096000 6.339269 0.008418 -0.001652 0.003834 2.776436 -0.096265
3.116000 6.394739 0.005939 -0.001655 0.000951 2.773205 -0.199288
3.136000 6.450139 0.001472 -0.001653 -0.003736 2.772747 -0.264048
3.156000 6.505577 -0.003150 -0.001655 -0.008068 2.767841 -0.182983
3.176000 6.560634 -0.004366 -0.001551 -0.008428 2.754351 -0.025984
3.196000 6.615634 -0.002687 -0.001419 -0.006223 2.745795 0.120326
3.216000 6.670606 0.001583 -0.001368 -0.001467 2.733036 0.258911
3.236000 6.725734 0.008304 -0.001334 0.005476 2.757361 0.375697
3.256000 6.780850 0.016454 -0.001331 0.013494 2.745659 0.405586
3.276000 6.835468 0.022274 -0.001485 0.018214 2.732061 0.232449
3.296000 6.889917 0.025364 -0.001531 0.019893 2.722388 0.089712
3.316000 6.944521 0.025499 -0.001434 0.018958 2.721502 -0.067238
3.336000 6.999587 0.023262 -0.001315 0.015711 2.765385 -0.195677
3.356000 7.055041 0.019608 -0.001332 0.011245 2.775014 -0.237746
3.376000 7.110537 0.016945 -0.001503 0.008174 2.776974 -0.086991
3.396000 7.166066 0.016172 -0.001601 0.006781 2.775788 -0.056742
