# stamp x y z yaw
0.182000 0.000000 0.000000 -0.000709 0.000000
0.202000 0.000001 0.000000 -0.001311 0.000000
0.222000 0.000002 0.000000 -0.001549 0.000000
0.242000 0.000004 0.000000 -0.001626 0.000000
0.262000 0.000006 0.000000 -0.001648 0.000000
0.282000 0.000008 0.000000 -0.001655 0.000000
0.302000 0.000009 0.000000 -0.001657 0.000000
0.322000 0.000011 0.000000 -0.001657 0.000000
0.342000 0.000013 0.000000 -0.001657 0.000000
0.362000 0.000015 0.000000 -0.001657 0.000000
0.382000 0.000016 0.000000 -0.001657 0.000000
0.402000 0.000018 0.000000 -0.001657 0.000000
0.422000 0.000020 0.000000 -0.001657 0.000000
0.442000 0.000022 0.000000 -0.001657 0.000000
0.462000 0.000023 0.000000 -0.001657 0.000000
0.482000 0.000025 0.000000 -0.001657 0.000000
0.502000 0.000027 0.000000 -0.001657 0.000000
0.522000 0.000029 0.000000 -0.001657 0.000000
0.542000 0.000030 0.000000 -0.001657 0.000000
0.562000 0.000032 0.000000 -0.001657 0.000000
0.582000 0.000034 0.000000 -0.001657 0.000000
0.602000 0.000036 0.000000 -0.001657 0.000000
0.622000 0.000037 0.000000 -0.001657 0.000000
0.642000 0.000039 0.000000 -0.001657 0.000000
0.662000 0.000041 0.000000 -0.001657 0.000000
0.682000 0.000043 0.000000 -0.001657 0.000000
0.702000 0.000044 0.000000 -0.001657 0.000000
0.722000 0.000046 0.000000 -0.001657 0.000000
0.742000 0.000048 0.000000 -0.001657 0.000000
0.762000 0.001025 0.000029 -0.001656 0.000030
0.782000 0.004306 0.000386 -0.001655 0.000399
0.802000 0.009454 0.000983 -0.001655 0.000989
0.822000 0.016497 0.001648 -0.001656 0.001617
0.842000 0.025426 0.002478 -0.001656 0.002379
0.862000 0.036244 0.003408 -0.001656 0.003197
0.882000 0.049014 0.003938 -0.001656 0.003559
0.902000 0.063675 0.004741 -0.001656 0.004183
0.922000 0.080257 0.005235 -0.001656 0.004447
0.942000 0.098760 0.005556 -0.001656 0.004525
0.962000 0.119171 0.006049 -0.001656 0.004772
0.982000 0.141501 0.006252 -0.001656 0.004708
1.002000 0.165744 0.006566 -0.001656 0.004763
1.022000 0.191866 0.007471 -0.001656 0.005428
1.042000 0.219881 0.008711 -0.001656 0.006391
1.062000 0.249786 0.010063 -0.001656 0.007422
1.082000 0.281399 0.012889 -0.001656 0.009910
1.102000 0.314943 0.015642 -0.001656 0.012169
1.122000 0.350271 0.019107 -0.001656 0.015047
1.142000 0.387403 0.023229 -0.001656 0.018425
1.162000 0.426408 0.027569 -0.001656 0.021859
1.182000 0.467057 0.033172 -0.001656 0.026396
1.202000 0.509605 0.038938 -0.001656 0.030830
1.222000 0.553922 0.045376 -0.001656 0.035723
1.242000 0.600019 0.052474 -0.001656 0.040998
1.262000 0.648024 0.059726 -0.001656 0.046124
1.282000 0.698049 0.066649 -0.001656 0.050628
1.302000 0.749814 0.074339 -0.001656 0.055656
