# stamp x y z yaw linear_v angular_v
0.376000 0.000000 0.000000 -0.000709 0.000000 0.000001 -0.000009
0.396000 0.000001 0.000000 -0.001311 0.000000 -0.000010 -0.000003
0.416000 0.000002 0.000000 -0.001549 0.000000 -0.000020 -0.000004
0.436000 0.000004 0.000000 -0.001626 0.000000 -0.000025 -0.000004
0.456000 0.000006 0.000000 -0.001648 0.000000 -0.000027 -0.000004
0.476000 0.000008 0.000000 -0.001655 0.000000 -0.000028 -0.000004
0.496000 0.000009 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.516000 0.000011 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.536000 0.000013 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.556000 0.000015 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.576000 0.000016 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.596000 0.000018 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.616000 0.000020 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.636000 0.000022 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.656000 0.000023 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.676000 0.000025 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.696000 0.000027 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.716000 0.000029 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.736000 0.000030 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.756000 0.000032 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.776000 0.000034 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.796000 0.000036 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.816000 0.000037 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.836000 0.001399 0.000000 -0.001656 -0.000000 0.072502 0.000029
0.856000 0.005049 0.000000 -0.001655 -0.000000 0.170072 0.000039
0.876000 0.010611 0.000000 -0.001655 -0.000000 0.266194 0.000032
0.896000 0.018083 0.000000 -0.001656 -0.000000 0.362038 0.000034
0.916000 0.027469 0.000000 -0.001656 -0.000000 0.457826 0.000035
0.936000 0.038769 0.000000 -0.001656 -0.000000 0.553601 0.000035
0.956000 0.051985 0.000000 -0.001656 -0.000000 0.649371 0.000035
0.976000 0.067116 0.000000 -0.001656 -0.000000 0.745136 0.000035
0.996000 0.084162 0.000000 -0.001656 -0.000000 0.840896 0.000036
1.016000 0.103124 0.000000 -0.001656 -0.000000 0.936653 0.000036
1.036000 0.124000 0.000000 -0.001656 -0.000000 1.032405 0.000036
1.056000 0.146792 0.000000 -0.001656 -0.000000 1.128154 0.000037
