# stamp x y z yaw vx vy vz angular_v
0.433000 0.000004 0.000000 -0.001617 0.000000 -0.000025 -0.000014 -0.116421 -0.000004
0.453000 0.000005 0.000000 -0.001646 0.000000 -0.000027 -0.000014 -0.116760 -0.000004
0.473000 0.000007 0.000000 -0.001654 0.000000 -0.000028 -0.000014 -0.116836 -0.000004
0.493000 0.000009 0.000000 -0.001656 0.000000 -0.000028 -0.000015 -0.116854 -0.000004
0.513000 0.000011 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116858 -0.000004
0.533000 0.000012 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.553000 0.000014 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.573000 0.000016 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.593000 0.000018 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.613000 0.000019 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.633000 0.000021 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.653000 0.000023 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.673000 0.000025 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.693000 0.000026 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.713000 0.000028 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.733000 0.000030 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.753000 0.000093 0.000000 -0.001657 0.000000 0.005954 -0.000012 -0.116985 -0.000008
0.773000 0.002451 0.000000 -0.001655 -0.000000 0.106999 -0.000035 -0.116769 0.000036
0.793000 0.006772 0.000000 -0.001655 -0.000000 0.203781 -0.000032 -0.116800 0.000037
0.813000 0.013003 0.000000 -0.001655 -0.000000 0.299752 -0.000035 -0.116823 0.000032
0.833000 0.021144 0.000000 -0.001656 -0.000000 0.395567 -0.000033 -0.116831 0.000035
0.853000 0.031200 0.000000 -0.001656 -0.000000 0.491349 -0.000034 -0.116833 0.000034
0.873000 0.043171 0.000000 -0.001656 -0.000000 0.587121 -0.000034 -0.116834 0.000035
0.893000 0.057057 0.000000 -0.001656 -0.000000 0.682889 -0.000034 -0.116834 0.000035
0.913000 0.072858 0.000000 -0.001656 -0.000000 0.778652 -0.000034 -0.116834 0.000035
0.933000 0.090575 0.000000 -0.001656 -0.000000 0.874412 -0.000034 -0.116834 0.000036
0.953000 0.110207 0.000000 -0.001656 -0.000000 0.970167 -0.000034 -0.116834 0.000036
0.973000 0.131753 0.000000 -0.001656 -0.000000 1.065918 -0.000034 -0.116834 0.000037
