# stamp x y z yaw vx vy vz angular_v
0.393000 0.000001 0.000000 -0.001381 0.000000 -0.000012 -0.000011 -0.112133 -0.000003
0.413000 0.000003 0.000000 -0.001572 0.000000 -0.000022 -0.000014 -0.115790 -0.000004
0.433000 0.000004 0.000000 -0.001633 0.000000 -0.000026 -0.000014 -0.116617 -0.000004
0.453000 0.000006 0.000000 -0.001650 0.000000 -0.000028 -0.000014 -0.116804 -0.000004
0.473000 0.000008 0.000000 -0.001655 0.000000 -0.000028 -0.000014 -0.116846 -0.000004
0.493000 0.000010 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116856 -0.000004
0.513000 0.000011 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116858 -0.000004
0.533000 0.000013 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.553000 0.000015 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.573000 0.000017 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.593000 0.000018 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.613000 0.000020 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.633000 0.000022 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.653000 0.000024 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.673000 0.000025 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.693000 0.000027 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.713000 0.000029 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.733000 0.000031 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.753000 0.000032 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.773000 0.000034 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.793000 0.000036 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.813000 0.000038 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.833000 0.000039 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.853000 0.000041 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.873000 0.000043 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.893000 0.000106 0.000000 -0.001657 -0.000000 0.005954 -0.000016 -0.116985 -0.000012
0.913000 0.002462 -0.000029 -0.001655 -0.000030 0.106877 -0.003195 -0.116768 -0.003228
0.933000 0.006781 -0.000122 -0.001655 -0.000125 0.203575 -0.005392 -0.116800 -0.005255
0.953000 0.013005 -0.000180 -0.001655 -0.000176 0.299238 0.003905 -0.116823 0.004780
0.973000 0.021133 -0.000002 -0.001656 0.000018 0.394902 0.009018 -0.116831 0.009522
0.993000 0.031177 0.000140 -0.001656 0.000162 0.490743 0.005815 -0.116833 0.005715
1.013000 0.043131 0.000044 -0.001656 0.000051 0.586167 -0.011412 -0.116833 -0.012152
1.033000 0.056999 -0.000146 -0.001656 -0.000146 0.682033 -0.006671 -0.116834 -0.006507
1.053000 0.072783 -0.000211 -0.001656 -0.000202 0.777752 0.002817 -0.116835 0.003681
1.073000 0.090481 -0.000104 -0.001656 -0.000081 0.873503 0.004151 -0.116834 0.004658
1.093000 0.110095 -0.000061 -0.001656 -0.000032 0.969274 0.001591 -0.116834 0.001842
1.113000 0.131624 -0.000024 -0.001656 0.000007 1.065024 0.002055 -0.116834 0.002233
1.133000 0.155068 0.000022 -0.001656 0.000054 1.160770 0.002370 -0.116834 0.002423
1.153000 0.180425 -0.000035 -0.001656 -0.000010 1.256224 -0.013232 -0.116834 -0.013946
1.173000 0.207691 -0.000386 -0.001656 -0.000371 1.351916 -0.015989 -0.116834 -0.015677
1.193000 0.236873 -0.000638 -0.001656 -0.000607 1.447549 -0.006623 -0.116835 -0.005037
1.213000 0.267951 -0.000186 -0.001656 -0.000102 1.542068 0.036708 -0.116831 0.039156
1.233000 0.300940 0.000389 -0.001656 0.000493 1.638258 0.020869 -0.116833 0.020589
1.253000 0.335833 0.000448 -0.001656 0.000516 1.731588 -0.034375 -0.116796 -0.038010
1.273000 0.372587 -0.000750 -0.001656 -0.000748 1.826385 -0.056891 -0.116813 -0.057540
1.293000 0.411270 -0.001544 -0.001656 -0.001516 1.922187 -0.022130 -0.116845 -0.018602
1.313000 0.451796 -0.000779 -0.001656 -0.000628 2.012704 0.078441 -0.116668 0.084808
1.333000 0.494179 0.001056 -0.001655 0.001291 2.108933 0.071053 -0.116779 0.070684
1.353000 0.538485 0.001595 -0.001656 0.001756 2.201383 -0.008382 -0.116513 -0.014503
1.373000 0.584566 -0.000038 -0.001650 -0.000041 2.290567 -0.111917 -0.115776 -0.117539
1.393000 0.632474 -0.002863 -0.001648 -0.002944 2.383754 -0.123177 -0.116489 -0.119574
1.413000 0.682160 -0.003343 -0.001596 -0.003241 2.470993 -0.002768 -0.099136 0.008321
1.433000 0.733599 -0.001276 -0.001353 -0.000903 2.560607 0.115344 -0.086453 0.123075
1.453000 0.786662 0.002144 -0.001365 0.002626 2.652316 0.171629 -0.104105 0.182378
1.473000 0.841248 0.004479 -0.001528 0.004920 2.751993 0.083857 -0.113580 0.081571
1.493000 0.896800 0.005490 -0.001610 0.005730 2.778715 0.042693 -0.115933 0.018821
1.513000 0.952350 0.004860 -0.001641 0.004747 2.775998 -0.066191 -0.116430 -0.081193
1.533000 1.007870 0.003681 -0.001651 0.003255 2.776233 -0.043336 -0.116742 -0.060173
1.553000 1.063405 0.003150 -0.001655 0.002499 2.777173 -0.003436 -0.116835 -0.014502
1.573000 1.118955 0.003063 -0.001657 0.002237 2.777406 -0.010124 -0.116849 -0.016692
1.593000 1.174505 0.002828 -0.001657 0.001874 2.777367 -0.011027 -0.116854 -0.016245
1.613000 1.230056 0.002717 -0.001657 0.001645 2.777507 -0.004751 -0.116855 -0.010306
1.633000 1.285609 0.002595 -0.001657 0.001423 2.777498 -0.006836 -0.116855 -0.011492
1.653000 1.341142 0.002193 -0.001657 0.000908 2.776885 -0.042945 -0.116838 -0.045591
1.673000 1.396679 0.001302 -0.001657 -0.000048 2.776691 -0.041262 -0.116849 -0.044864
1.693000 1.452216 0.000470 -0.001657 -0.000926 2.776472 -0.045459 -0.116852 -0.048641
1.713000 1.507742 -0.000804 -0.001657 -0.002189 2.776011 -0.069440 -0.116851 -0.067889
1.733000 1.563265 -0.002165 -0.001657 -0.003485 2.776055 -0.067640 -0.116854 -0.062688
1.753000 1.618808 -0.002759 -0.001658 -0.003808 2.775364 0.019428 -0.116530 0.017639
1.773000 1.674349 -0.000771 -0.001651 -0.001646 2.778026 0.124777 -0.115845 0.137730
1.793000 1.729886 0.001988 -0.001650 0.001283 2.773437 0.120690 -0.116484 0.134001
1.813000 1.785465 0.003671 -0.001653 0.003034 2.779443 0.068380 -0.116697 0.066650
