# stamp x y z yaw vx vy vz angular_v
0.410000 0.000002 0.000000 -0.001535 0.000000 -0.000019 -0.000013 -0.115189 -0.000003
0.430000 0.000004 0.000000 -0.001621 0.000000 -0.000025 -0.000014 -0.116481 -0.000004
0.450000 0.000006 0.000000 -0.001647 0.000000 -0.000027 -0.000014 -0.116773 -0.000004
0.470000 0.000007 0.000000 -0.001654 0.000000 -0.000028 -0.000014 -0.116839 -0.000004
0.490000 0.000009 0.000000 -0.001656 0.000000 -0.000028 -0.000015 -0.116854 -0.000004
0.510000 0.000011 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116858 -0.000004
0.530000 0.000013 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.550000 0.000014 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.570000 0.000016 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.590000 0.000018 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.610000 0.000020 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.630000 0.000021 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.650000 0.000023 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.670000 0.000630 0.000173 -0.001656 0.000289 0.008864 0.004740 -0.116773 -0.012087
0.690000 0.001252 0.000127 -0.001655 0.000227 0.008422 -0.007647 -0.116799 -0.026375
0.710000 0.001856 0.000111 -0.001656 0.000194 0.008341 -0.000249 -0.116835 -0.017663
0.730000 0.002468 0.000142 -0.001657 0.000215 0.008331 -0.002300 -0.116845 -0.019637
0.750000 0.003072 0.000135 -0.001657 0.000197 0.008235 -0.002772 -0.116846 -0.019795
0.770000 0.005223 -0.000037 -0.001655 -0.000104 0.100779 -0.005541 -0.116765 -0.004792
0.790000 0.009429 0.000026 -0.001655 -0.000025 0.197865 0.004466 -0.116793 0.004921
0.810000 0.015543 0.000023 -0.001655 -0.000027 0.293876 -0.002608 -0.116819 -0.002562
0.830000 0.023568 0.000003 -0.001656 -0.000044 0.389701 0.000522 -0.116829 0.000895
0.850000 0.033506 0.000014 -0.001656 -0.000028 0.485485 -0.000035 -0.116832 0.000182
0.870000 0.045360 0.000008 -0.001656 -0.000031 0.581258 -0.000247 -0.116833 -0.000011
0.890000 0.059129 0.000009 -0.001656 -0.000027 0.677026 0.000111 -0.116833 0.000340
0.910000 0.074813 0.000009 -0.001656 -0.000023 0.772790 -0.000098 -0.116833 0.000096
0.930000 0.092412 0.000008 -0.001656 -0.000022 0.868550 -0.000070 -0.116833 0.000122
0.950000 0.111927 0.000008 -0.001656 -0.000020 0.964305 -0.000030 -0.116833 0.000150
0.970000 0.133356 0.000007 -0.001656 -0.000018 1.060056 -0.000065 -0.116833 0.000103
0.990000 0.156701 0.000007 -0.001656 -0.000016 1.155804 -0.000041 -0.116833 0.000120
1.010000 0.181960 0.000007 -0.001656 -0.000015 1.251547 -0.000049 -0.116833 0.000101
1.030000 0.209135 0.000006 -0.001656 -0.000014 1.347286 -0.000059 -0.116833 0.000086
1.050000 0.238224 0.000006 -0.001656 -0.000012 1.443021 -0.000041 -0.116833 0.000098
1.070000 0.269227 0.000007 -0.001656 -0.000010 1.538752 0.000033 -0.116833 0.000165
1.090000 0.302145 0.000008 -0.001656 -0.000008 1.634480 0.000030 -0.116834 0.000145
1.110000 0.336978 0.000009 -0.001656 -0.000006 1.730203 -0.000005 -0.116834 0.000096
1.130000 0.373725 0.000009 -0.001656 -0.000005 1.825921 -0.000040 -0.116834 0.000057
1.150000 0.412387 0.000009 -0.001656 -0.000005 1.921636 -0.000005 -0.116834 0.000087
1.170000 0.452963 0.000009 -0.001656 -0.000004 2.017347 -0.000059 -0.116834 0.000027
1.190000 0.495453 0.000008 -0.001656 -0.000004 2.113054 -0.000045 -0.116834 0.000043
1.210000 0.539857 0.000008 -0.001656 -0.000004 2.208757 -0.000051 -0.116834 0.000036
1.230000 0.586175 0.000008 -0.001656 -0.000004 2.304455 -0.000068 -0.116834 0.000020
1.250000 0.634407 0.000007 -0.001656 -0.000004 2.400150 -0.000059 -0.116834 0.000031
1.270000 0.684552 0.000006 -0.001656 -0.000004 2.495840 -0.000057 -0.116834 0.000034
1.290000 0.736612 0.000006 -0.001656 -0.000005 2.591527 -0.000060 -0.116834 0.000033
1.310000 0.790585 0.000005 -0.001656 -0.000005 2.687209 -0.000052 -0.116834 0.000042
1.330000 0.846472 0.000005 -0.001656 -0.000004 2.782888 -0.000041 -0.116834 0.000051
1.350000 0.904272 0.000005 -0.001656 -0.000004 2.878562 -0.000047 -0.116834 0.000044
1.370000 0.963986 0.000004 -0.001656 -0.000004 2.974232 -0.000044 -0.116834 0.000046
1.390000 1.025614 0.000004 -0.001656 -0.000004 3.069898 -0.000044 -0.116834 0.000046
1.410000 1.089154 0.000004 -0.001656 -0.000004 3.165560 -0.000045 -0.116834 0.000045
1.430000 1.154608 0.000003 -0.001656 -0.000004 3.261219 -0.000046 -0.116834 0.000043
1.450000 1.221974 0.000003 -0.001656 -0.000004 3.356873 -0.000045 -0.116834 0.000044
1.470000 1.291254 0.000003 -0.001656 -0.000003 3.452523 -0.000046 -0.116834 0.000043
1.490000 1.362447 0.000002 -0.001656 -0.000003 3.548168 -0.000046 -0.116834 0.000042
1.510000 1.435553 0.000002 -0.001656 -0.000003 3.643810 -0.000023 -0.116834 0.000067
1.530000 1.510571 0.000003 -0.001656 -0.000002 3.739448 0.000006 -0.116834 0.000091
1.550000 1.587502 0.000003 -0.001656 -0.000001 3.835082 -0.000008 -0.116834 0.000073
1.570000 1.666346 0.000004 -0.001656 -0.000001 3.930712 -0.000046 -0.116834 0.000033
1.590000 1.747103 0.000003 -0.001656 -0.000001 4.026337 -0.000034 -0.116834 0.000046
1.610000 1.829771 0.000003 -0.001656 -0.000001 4.121959 -0.000053 -0.116834 0.000027
1.630000 1.914353 0.000003 -0.001656 -0.000002 4.217576 -0.000081 -0.116834 0.000004
1.650000 2.000846 0.000002 -0.001656 -0.000002 4.313190 -0.000068 -0.116834 0.000022
1.670000 2.089252 0.000001 -0.001656 -0.000002 4.408799 -0.000056 -0.116834 0.000039
1.690000 2.179570 0.000001 -0.001656 -0.000002 4.504405 -0.000062 -0.116834 0.000036
1.710000 2.271800 0.000001 -0.001656 -0.000003 4.600006 -0.000048 -0.116834 0.000055
1.730000 2.365942 0.000001 -0.001656 -0.000002 4.695603 -0.000028 -0.116834 0.000076
1.750000 2.461995 0.000001 -0.001656 -0.000002 4.791196 -0.000040 -0.116834 0.000067
