# stamp x y z yaw linear_v angular_v
0.259000 0.000005 0.000000 -0.001646 0.000000 -0.000027 -0.000004
0.279000 0.000007 0.000000 -0.001654 0.000000 -0.000028 -0.000004
0.299000 0.000009 0.000000 -0.001656 0.000000 -0.000028 -0.000004
0.319000 0.000011 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.339000 0.000012 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.359000 0.000014 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.379000 0.000016 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.399000 0.000018 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.419000 0.000019 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.439000 0.000021 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.459000 0.000023 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.479000 0.000025 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.499000 0.000026 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.519000 0.000028 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.539000 0.000030 0.000000 -0.001657 0.000000 -0.000028 -0.000004
0.559000 0.000609 0.000000 -0.001657 -0.000000 0.041349 0.000011
0.579000 0.003753 0.000000 -0.001653 -0.000000 0.143901 0.000038
0.599000 0.008833 0.000000 -0.001653 -0.000000 0.240966 0.000031
0.619000 0.015812 0.000000 -0.001655 -0.000000 0.336988 0.000029
0.639000 0.024700 0.000000 -0.001656 -0.000000 0.432811 0.000030
0.659000 0.035500 -0.000002 -0.001656 -0.000002 0.528591 -0.000571
0.679000 0.048216 -0.000030 -0.001656 -0.000031 0.624358 -0.001609
0.699000 0.062847 -0.000061 -0.001656 -0.000058 0.720126 -0.001152
0.719000 0.079393 -0.000071 -0.001656 -0.000060 0.815886 0.001155
0.739000 0.097854 -0.000055 -0.001656 -0.000039 0.911644 0.000623
