# stamp x y z yaw vx vy vz angular_v
0.230000 0.000005 0.000000 -0.001643 0.000000 -0.000027 -0.000014 -0.116735 -0.000004
0.250000 0.000007 0.000000 -0.001653 0.000000 -0.000028 -0.000014 -0.116831 -0.000004
0.270000 0.000009 0.000000 -0.001656 0.000000 -0.000028 -0.000015 -0.116852 -0.000004
0.290000 0.000010 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116857 -0.000004
0.310000 0.000012 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116858 -0.000004
0.330000 0.000014 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.350000 0.000016 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.370000 0.000017 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.390000 0.000019 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.410000 0.000021 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.430000 0.000023 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.450000 0.000024 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.470000 0.000026 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.490000 0.000028 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.510000 0.000030 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.530000 0.000031 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.550000 0.000033 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.570000 0.000035 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.590000 0.000037 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.610000 0.000038 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.630000 0.000040 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.650000 0.000042 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.670000 0.000044 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.690000 0.000045 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.710000 0.000047 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.730000 0.000049 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.750000 0.000051 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.770000 0.000052 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.790000 0.000054 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.810000 0.000056 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.830000 0.000058 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.850000 0.000059 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.870000 0.000061 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.890000 0.000063 0.000000 -0.001657 0.000000 -0.000028 -0.000015 -0.116859 -0.000004
0.910000 0.000273 -0.000000 -0.001658 -0.000000 0.018896 -0.000084 -0.116985 -0.000073
0.930000 0.002997 -0.000038 -0.001653 -0.000040 0.123975 -0.003841 -0.116688 -0.003778
0.950000 0.007693 -0.000143 -0.001653 -0.000140 0.221474 -0.005891 -0.116766 -0.005333
0.970000 0.014285 -0.000198 -0.001655 -0.000176 0.317259 0.004637 -0.116812 0.006102
0.990000 0.022777 -0.000015 -0.001655 0.000027 0.412989 0.008849 -0.116828 0.009234
1.010000 0.033183 0.000123 -0.001656 0.000161 0.508807 0.004675 -0.116832 0.004018
1.030000 0.045499 0.000007 -0.001656 0.000023 0.604273 -0.011321 -0.116833 -0.012067
1.050000 0.059729 -0.000173 -0.001656 -0.000158 0.700143 -0.006423 -0.116834 -0.005757
1.070000 0.075875 -0.000240 -0.001656 -0.000205 0.795864 0.002335 -0.116835 0.003796
1.090000 0.093936 -0.000147 -0.001656 -0.000090 0.891618 0.003493 -0.116834 0.004244
1.110000 0.113912 -0.000113 -0.001656 -0.000046 0.987384 0.001369 -0.116834 0.001780
1.130000 0.135803 -0.000066 -0.001656 0.000006 1.083127 0.002959 -0.116834 0.003169
1.150000 0.159609 -0.000005 -0.001656 0.000067 1.178874 0.002965 -0.116834 0.002812
1.170000 0.185327 -0.000069 -0.001656 -0.000010 1.274276 -0.014638 -0.116834 -0.015478
1.190000 0.212954 -0.000450 -0.001656 -0.000389 1.369978 -0.017290 -0.116834 -0.015865
1.210000 0.242498 -0.000729 -0.001656 -0.000623 1.465601 -0.007952 -0.116835 -0.004561
1.230000 0.273936 -0.000269 -0.001656 -0.000083 1.560016 0.038296 -0.116830 0.041113
1.250000 0.307284 0.000341 -0.001656 0.000531 1.656244 0.022556 -0.116833 0.020674
1.270000 0.342534 0.000358 -0.001656 0.000471 1.749290 -0.038708 -0.116784 -0.044042
1.290000 0.379642 -0.000900 -0.001656 -0.000842 1.844267 -0.058435 -0.116811 -0.056482
1.310000 0.418684 -0.001758 -0.001656 -0.001597 1.940393 -0.030861 -0.116839 -0.022946
1.330000 0.459571 -0.001153 -0.001656 -0.000789 2.030680 0.070736 -0.116645 0.079720
1.350000 0.502304 0.000763 -0.001655 0.001212 2.126128 0.081437 -0.116762 0.078396
1.370000 0.546939 0.001302 -0.001655 0.001581 2.217735 -0.007952 -0.116268 -0.018056
1.390000 0.593341 -0.000435 -0.001641 -0.000359 2.306842 -0.115754 -0.114811 -0.119870
1.410000 0.641562 -0.003465 -0.001641 -0.003341 2.398524 -0.137851 -0.116200 -0.124565
1.430000 0.691544 -0.004168 -0.001573 -0.003623 2.486170 -0.014922 -0.095905 0.005949
1.450000 0.743291 -0.002370 -0.001327 -0.001395 2.575786 0.106334 -0.083174 0.119713
1.470000 0.796845 0.000938 -0.001342 0.002067 2.667636 0.169964 -0.103319 0.166300
1.490000 0.852342 0.003317 -0.001519 0.004182 2.766911 0.084806 -0.113398 0.064304
1.510000 0.909834 0.004252 -0.001607 0.004638 2.863868 0.034050 -0.115928 0.009077
1.530000 0.969211 0.003781 -0.001639 0.003630 2.956602 -0.062963 -0.116432 -0.087887
1.550000 1.030480 0.002429 -0.001650 0.001884 3.052775 -0.050431 -0.116737 -0.063870
1.570000 1.093687 0.001963 -0.001654 0.001226 3.149123 0.002606 -0.116803 -0.004216
1.590000 1.158812 0.002131 -0.001655 0.001257 3.244743 -0.001657 -0.116819 -0.009475
1.610000 1.225848 0.001876 -0.001656 0.000858 3.340318 -0.015744 -0.116827 -0.021748
1.630000 1.294797 0.001552 -0.001656 0.000439 3.435967 -0.016656 -0.116830 -0.020185
1.650000 1.365658 0.001192 -0.001656 0.000030 3.531592 -0.019402 -0.116831 -0.020690
1.670000 1.438423 0.000503 -0.001656 -0.000672 3.625922 -0.060502 -0.116787 -0.060306
1.690000 1.513072 -0.001103 -0.001656 -0.002206 3.720998 -0.081170 -0.116808 -0.072674
1.710000 1.589637 -0.002479 -0.001656 -0.003327 3.815870 -0.050891 -0.116820 -0.033852
1.730000 1.668030 -0.001895 -0.001651 -0.002340 3.906908 0.055062 -0.114586 0.072378
1.750000 1.748247 0.000741 -0.001631 0.000575 3.998225 0.163265 -0.114848 0.168846
1.770000 1.830306 0.003534 -0.001639 0.003265 4.090326 0.114672 -0.113528 0.101045
1.790000 1.914218 0.003538 -0.001448 0.002864 4.184856 -0.016539 -0.085300 -0.034229
1.810000 1.999998 0.001505 -0.001298 0.000495 4.278541 -0.118920 -0.090460 -0.127853
1.830000 2.087653 -0.001063 -0.001443 -0.002106 4.373250 -0.100580 -0.110360 -0.092424
1.850000 2.177246 -0.001966 -0.001575 -0.002747 4.470026 -0.011436 -0.115161 0.004529
1.870000 2.268771 -0.002002 -0.001629 -0.002470 4.565092 0.017547 -0.116444 0.033086
1.890000 2.362208 -0.001461 -0.001648 -0.001656 4.660584 0.024409 -0.116741 0.035405
1.910000 2.457560 -0.001065 -0.001654 -0.001078 4.756032 0.025975 -0.116814 0.034044
1.930000 2.554803 0.000208 -0.001655 0.000328 4.850100 0.085629 -0.116826 0.088883
1.950000 2.653950 0.001820 -0.001656 0.001896 4.946121 0.073241 -0.116831 0.066304
1.970000 2.754987 0.002558 -0.001656 0.002396 5.038983 0.006065 -0.116226 -0.008442
1.990000 2.857858 0.000959 -0.001627 0.000499 5.131452 -0.104926 -0.112091 -0.113624
2.010000 2.962581 -0.002357 -0.001621 -0.002888 5.224365 -0.178072 -0.115173 -0.168880
2.030000 3.069231 -0.004666 -0.001640 -0.004836 5.321881 -0.082190 -0.116004 -0.056650
2.050000 3.177737 -0.005286 -0.001646 -0.004901 5.419729 -0.020916 -0.116383 0.011732
2.070000 3.287736 -0.005932 -0.001651 -0.004933 5.514214 -0.009759 -0.116693 0.012651
2.090000 3.398795 -0.005572 -0.001654 -0.004058 5.559184 0.024708 -0.116782 0.051059
2.110000 3.509954 -0.005195 -0.001656 -0.003181 5.561157 0.024765 -0.116839 0.051098
2.130000 3.621113 -0.003855 -0.001657 -0.001462 5.556755 0.084509 -0.116844 0.101085
2.150000 3.732258 -0.002227 -0.001657 0.000384 5.556852 0.079338 -0.116853 0.086189
2.170000 3.843398 -0.000615 -0.001657 0.002000 5.556537 0.080578 -0.116856 0.076488
2.190000 3.954531 0.001086 -0.001657 0.003523 5.555896 0.090322 -0.116856 0.077303
2.210000 4.065654 0.002964 -0.001657 0.005009 5.555293 0.081581 -0.116836 0.058565
2.230000 4.176767 0.003038 -0.001656 0.004565 5.554448 -0.038885 -0.116601 -0.062243
2.250000 4.287843 0.002281 -0.001655 0.003308 5.553586 -0.021194 -0.116776 -0.047168
2.270000 4.398933 0.001790 -0.001656 0.002378 5.554378 -0.041892 -0.116838 -0.058282
2.290000 4.510019 0.000846 -0.001657 0.001154 5.553990 -0.048009 -0.116853 -0.059909
2.310000 4.621104 -0.000193 -0.001657 -0.000075 5.553890 -0.068490 -0.116852 -0.077836
2.330000 4.732174 -0.002294 -0.001657 -0.002189 5.553539 -0.118120 -0.116840 -0.116991
2.350000 4.843241 -0.004615 -0.001657 -0.004333 5.553345 -0.115664 -0.116853 -0.101282
2.370000 4.954308 -0.006072 -0.001658 -0.005244 5.553742 -0.022709 -0.116540 -0.007129
2.390000 5.065430 -0.005014 -0.001652 -0.003693 5.555711 0.077950 -0.116101 0.105620
2.410000 5.176533 -0.003359 -0.001652 -0.001611 5.552327 0.051184 -0.116623 0.073662
2.430000 5.287644 -0.003449 -0.001654 -0.001413 5.556187 -0.019289 -0.116753 -0.009657
2.450000 5.398761 -0.003467 -0.001656 -0.001291 5.555771 0.008698 -0.116833 0.015051
2.470000 5.509882 -0.002784 -0.001657 -0.000424 5.556684 0.079137 -0.116865 0.083009
2.490000 5.621022 -0.001048 -0.001657 0.001362 5.556832 0.082240 -0.116854 0.084273
2.510000 5.732160 0.000520 -0.001657 0.002771 5.555933 0.062860 -0.116835 0.052932
2.530000 5.843270 -0.000223 -0.001654 0.001713 5.557294 -0.075569 -0.115584 -0.086065
2.550000 5.954329 -0.002973 -0.001645 -0.001188 5.549789 -0.157342 -0.115804 -0.170094
2.570000 6.065313 -0.005394 -0.001650 -0.003455 5.547552 -0.073560 -0.116332 -0.079791
2.590000 6.176371 -0.005215 -0.001648 -0.003007 5.556677 0.039161 -0.115840 0.053634
2.610000 6.287480 -0.004064 -0.001649 -0.001543 5.552569 0.044019 -0.116526 0.064386
2.630000 6.398600 -0.003649 -0.001654 -0.000877 5.556325 0.017137 -0.116780 0.026063
2.650000 6.509726 -0.003150 -0.001656 -0.000268 5.556218 0.028634 -0.116840 0.032441
