# stamp x y z yaw
0.256000 0.000007 0.000000 -0.001653 0.000000
0.276000 0.000009 0.000000 -0.001656 0.000000
0.296000 0.000010 0.000000 -0.001657 0.000000
0.316000 0.000012 0.000000 -0.001657 0.000000
0.336000 0.000014 0.000000 -0.001657 0.000000
0.356000 0.000016 0.000000 -0.001657 0.000000
0.376000 0.000017 0.000000 -0.001657 0.000000
0.396000 0.000019 0.000000 -0.001657 0.000000
0.416000 0.000021 0.000000 -0.001657 0.000000
0.436000 0.000023 0.000000 -0.001657 0.000000
0.456000 0.000024 0.000000 -0.001657 0.000000
0.476000 0.000026 0.000000 -0.001657 0.000000
0.496000 0.000028 0.000000 -0.001657 0.000000
0.516000 0.000030 0.000000 -0.001657 0.000000
0.536000 0.000031 0.000000 -0.001657 0.000000
0.556000 0.000033 0.000000 -0.001657 0.000000
0.576000 0.000035 0.000000 -0.001657 0.000000
0.596000 0.000037 0.000000 -0.001657 0.000000
0.616000 0.000038 0.000000 -0.001657 0.000000
0.636000 0.000040 0.000000 -0.001657 0.000000
0.656000 0.000042 0.000000 -0.001657 0.000000
0.676000 0.000044 0.000000 -0.001657 0.000000
0.696000 0.000045 0.000000 -0.001657 0.000000
0.716000 0.000047 0.000000 -0.001657 0.000000
0.736000 0.000049 0.000000 -0.001657 0.000000
0.756000 0.000051 0.000000 -0.001657 0.000000
0.776000 0.000052 0.000000 -0.001657 0.000000
0.796000 0.000054 0.000000 -0.001657 0.000000
0.816000 0.000056 0.000000 -0.001657 0.000000
0.836000 0.000058 0.000000 -0.001657 0.000000
0.856000 0.000059 0.000000 -0.001657 0.000000
0.876000 0.000061 0.000000 -0.001657 0.000000
0.896000 0.001847 0.000000 -0.001656 -0.000000
0.916000 0.005785 0.000000 -0.001655 -0.000000
0.936000 0.011634 0.000000 -0.001655 -0.000000
0.956000 0.019393 0.000000 -0.001656 -0.000000
0.976000 0.029066 0.000000 -0.001656 -0.000000
0.996000 0.040653 0.000000 -0.001656 -0.000000
1.016000 0.054156 0.000000 -0.001656 -0.000000
1.036000 0.069575 0.000000 -0.001656 -0.000000
1.056000 0.086908 0.000000 -0.001656 -0.000000
1.076000 0.106157 0.000000 -0.001656 -0.000000
1.096000 0.127321 0.000000 -0.001656 -0.000000
1.116000 0.150400 0.000000 -0.001656 -0.000000
1.136000 0.175393 0.000000 -0.001656 -0.000000
1.156000 0.202302 0.000000 -0.001656 -0.000000
1.176000 0.231125 0.000000 -0.001656 -0.000000
1.196000 0.261863 0.000000 -0.001656 -0.000000
1.216000 0.294516 0.000000 -0.001656 -0.000000
1.236000 0.329083 0.000000 -0.001656 -0.000000
1.256000 0.365564 0.000000 -0.001656 -0.000000
1.276000 0.403960 0.000000 -0.001656 -0.000000
1.296000 0.444270 0.000000 -0.001656 -0.000000
1.316000 0.486494 0.000000 -0.001656 -0.000000
1.336000 0.530633 0.000000 -0.001656 -0.000000
1.356000 0.576685 0.000000 -0.001656 -0.000000
1.376000 0.624652 0.000000 -0.001656 -0.000000
1.396000 0.674532 0.000001 -0.001656 -0.000000
1.416000 0.726322 -0.000000 -0.001656 0.000001
1.436000 0.779918 -0.000014 -0.001656 0.000019
1.456000 0.834811 -0.000013 -0.001656 0.000019
1.476000 0.890412 -0.000012 -0.001656 0.000018
1.496000 0.945969 -0.000012 -0.001657 0.000016
1.516000 1.001526 -0.000013 -0.001657 0.000015
1.536000 1.057083 -0.000013 -0.001657 0.000014
1.556000 1.112640 -0.000012 -0.001657 0.000014
1.576000 1.168197 -0.000012 -0.001657 0.000013
1.596000 1.223755 -0.000011 -0.001657 0.000013
1.616000 1.279312 -0.000010 -0.001657 0.000014
1.636000 1.334869 -0.000010 -0.001657 0.000013
1.656000 1.390426 -0.000012 -0.001657 0.000011
1.676000 1.445983 -0.000013 -0.001657 0.000008
1.696000 1.501540 -0.000013 -0.001657 0.000008
1.716000 1.557097 -0.000013 -0.001657 0.000008
1.736000 1.612654 -0.000012 -0.001657 0.000008
1.756000 1.668211 -0.000012 -0.001657 0.000008
1.776000 1.723768 -0.000011 -0.001657 0.000009
1.796000 1.779326 -0.000010 -0.001657 0.000009
1.816000 1.834883 -0.000010 -0.001657 0.000009
1.836000 1.890440 -0.000009 -0.001657 0.000009
1.856000 1.945997 -0.000009 -0.001657 0.000009
1.876000 2.001554 -0.000009 -0.001657 0.000009
1.896000 2.057111 -0.000008 -0.001657 0.000009
1.916000 2.112668 -0.000008 -0.001657 0.000009
1.936000 2.168226 -0.000007 -0.001657 0.000009
1.956000 2.223783 -0.000007 -0.001657 0.000009
1.976000 2.279340 -0.000006 -0.001657 0.000009
