0-5s 2m/s 6-8s 0m/s 的测试结果
==============================
[INIT] Start Position X: 0.0001 m
[PHASE 1] Commanding 5.0 m/s for 5.0s...
  -> T+0.00s | Vel: -0.0000 m/s
  -> T+0.10s | Vel: 0.3333 m/s
  -> T+0.20s | Vel: 0.6418 m/s
  -> T+0.30s | Vel: 0.8931 m/s
  -> T+0.40s | Vel: 1.0977 m/s
  -> T+0.50s | Vel: 1.2644 m/s
  -> T+0.60s | Vel: 1.4001 m/s
  -> T+0.70s | Vel: 1.5107 m/s
  -> T+0.80s | Vel: 1.6007 m/s
  -> T+0.90s | Vel: 1.6741 m/s
  -> T+1.00s | Vel: 1.7338 m/s
  -> T+1.10s | Vel: 1.7825 m/s
  -> T+1.20s | Vel: 1.8221 m/s
  -> T+1.30s | Vel: 1.8544 m/s
  -> T+1.40s | Vel: 1.8806 m/s
  -> T+1.50s | Vel: 1.9020 m/s
  -> T+1.60s | Vel: 1.9195 m/s
  -> T+1.70s | Vel: 1.9337 m/s
  -> T+1.80s | Vel: 1.9452 m/s
  -> T+1.90s | Vel: 1.9547 m/s
  -> T+2.00s | Vel: 1.9623 m/s
  -> T+2.10s | Vel: 1.9686 m/s
  -> T+2.20s | Vel: 1.9737 m/s
  -> T+2.30s | Vel: 1.9778 m/s
  -> T+2.40s | Vel: 1.9812 m/s
  -> T+2.50s | Vel: 1.9839 m/s
  -> T+2.60s | Vel: 1.9862 m/s
  -> T+2.70s | Vel: 1.9880 m/s
  -> T+2.80s | Vel: 1.9895 m/s
  -> T+2.90s | Vel: 1.9907 m/s
  -> T+3.00s | Vel: 1.9917 m/s
  -> T+3.10s | Vel: 1.9925 m/s
  -> T+3.20s | Vel: 1.9931 m/s
  -> T+3.30s | Vel: 1.9937 m/s
  -> T+3.40s | Vel: 1.9941 m/s
  -> T+3.50s | Vel: 1.9945 m/s
  -> T+3.60s | Vel: 1.9947 m/s
  -> T+3.70s | Vel: 1.9950 m/s
  -> T+3.80s | Vel: 1.9952 m/s
  -> T+3.90s | Vel: 1.9953 m/s
  -> T+4.00s | Vel: 1.9955 m/s
  -> T+4.10s | Vel: 1.9956 m/s
  -> T+4.20s | Vel: 1.9956 m/s
  -> T+4.30s | Vel: 1.9957 m/s
  -> T+4.40s | Vel: 1.9958 m/s
  -> T+4.50s | Vel: 1.9958 m/s
  -> T+4.60s | Vel: 1.9958 m/s
  -> T+4.70s | Vel: 1.9959 m/s
  -> T+4.80s | Vel: 1.9959 m/s
  -> T+4.90s | Vel: 1.9959 m/s
[PHASE 2] Commanding STOP (0.0 m/s)...
  -> T+5.00s | Vel: 1.9959 m/s
  -> T+5.10s | Vel: 1.6626 m/s
  -> T+5.20s | Vel: 1.3542 m/s
  -> T+5.30s | Vel: 1.1029 m/s
  -> T+5.40s | Vel: 0.8983 m/s
  -> T+5.50s | Vel: 0.7316 m/s
  -> T+5.60s | Vel: 0.5958 m/s
  -> T+5.70s | Vel: 0.4853 m/s
  -> T+5.80s | Vel: 0.3952 m/s
  -> T+5.90s | Vel: 0.3219 m/s
  -> T+6.00s | Vel: 0.2622 m/s
  -> T+6.10s | Vel: 0.2135 m/s
  -> T+6.20s | Vel: 0.1739 m/s
  -> T+6.30s | Vel: 0.1416 m/s
  -> T+6.40s | Vel: 0.1154 m/s
  -> T+6.50s | Vel: 0.0940 m/s
  -> T+6.60s | Vel: 0.0765 m/s
  -> T+6.70s | Vel: 0.0623 m/s
  -> T+6.80s | Vel: 0.0508 m/s
  -> T+6.90s | Vel: 0.0413 m/s
  -> T+7.00s | Vel: 0.0337 m/s
  -> T+7.10s | Vel: 0.0274 m/s
  -> T+7.20s | Vel: 0.0223 m/s
  -> T+7.30s | Vel: 0.0182 m/s
  -> T+7.40s | Vel: 0.0148 m/s
  -> T+7.50s | Vel: 0.0121 m/s
  -> T+7.60s | Vel: 0.0098 m/s
  -> T+7.70s | Vel: 0.0080 m/s
  -> T+7.80s | Vel: 0.0065 m/s
  -> T+7.90s | Vel: 0.0053 m/s
==============================
[RESULT] Total Displacement: 9.9787 m
[RESULT] Average Speed (Steady): 1.9084 m/s
[RESULT] Max Speed Reached:     1.9959 m/s
[RESULT] Final Speed (at 4s):   0.0053 m/s
==============================
